Straße;Point ID;Längengrad;Breitengrad
Kaiserstraße;1;9,933534265;49,7976799
Kaiserstraße;2;9,934167266;49,7987914
Kaiserstraße;3;9,934676886;49,79962588
Kaiserstraße;4;9,934483767;49,79967089
Kaiserstraße;5;9,933979511;49,79883295
Kaiserstraße;6;9,933405519;49,79787727
Kaiserstraße;7;9,933443069;49,79785996
Kaiserstraße;8;9,933362603;49,79774223
Kaiserstraße;9;9,933131933;49,797763
Kaiserstraße;10;9,933126569;49,79773876
Kaiserstraße;11;9,933255315;49,79744444
Kaiserstraße;12;9,933432341;49,79751715
Kaiserstraße;13;9,933518171;49,79751369
Kaiserstraße;14;9,933534265;49,7976799
Schönbornstraße;1;9,930891592;49,79501215
Schönbornstraße;2;9,931128098;49,79507916
Schönbornstraße;3;9,931203382;49,79595286
Schönbornstraße;4;9,931045321;49,79602518
Schönbornstraße;5;9,930996048;49,79567042
Schönbornstraße;6;9,930966485;49,79556991
Schönbornstraße;7;9,930891592;49,79501215
Spiegelstraße;1;9,934698343;49,7948335
Spiegelstraße;2;9,934966564;49,79490968
Spiegelstraße;3;9,934456944;49,79507244
Spiegelstraße;4;9,933888316;49,79530791
Spiegelstraße;5;9,93362546;49,79536332
Spiegelstraße;6;9,933571815;49,79540141
Spiegelstraße;7;9,933223128;49,79526289
Spiegelstraße;8;9,933544993;49,79524212
Spiegelstraße;9;9,933775663;49,79519364
Spiegelstraße;10;9,934328198;49,79498587
Spiegelstraße;11;9,934698343;49,7948335
