Zeitstempel;Wetter;Temperatur;Passanten;Location Name;GeoPunkt;Passanten ltr;Passanten rtl;Passanten Erwachsene;Passanten Kinder;Passanten Erwachsene ltr;Passanten Erwachsene rtl;Passanten Kinder ltr;Passanten Kinder rtl
2024-01-01T00:00:00+01:00;partly-cloudy-night;5;1197;Kaiserstraße;49.798498976405355, 9.933887635731686;;;;;;;;
2024-01-01T00:00:00+01:00;partly-cloudy-night;5;1346;Schönbornstraße;49.795490162266525, 9.931060093195851;;;;;;;;
2024-01-01T00:00:00+01:00;partly-cloudy-night;5;388;Spiegelstraße;49.79512717222457, 9.934114106308467;;;;;;;;
2024-01-01T01:00:00+01:00;partly-cloudy-night;5;697;Kaiserstraße;49.798498976405355, 9.933887635731686;;;;;;;;
2024-01-01T01:00:00+01:00;partly-cloudy-night;5;772;Schönbornstraße;49.795490162266525, 9.931060093195851;;;;;;;;
2024-01-01T01:00:00+01:00;partly-cloudy-night;5;161;Spiegelstraße;49.79512717222457, 9.934114106308467;;;;;;;;
2024-01-01T02:00:00+01:00;rain;5;243;Kaiserstraße;49.798498976405355, 9.933887635731686;;;;;;;;
2024-01-01T02:00:00+01:00;rain;5;211;Schönbornstraße;49.795490162266525, 9.931060093195851;;;;;;;;
2024-01-01T02:00:00+01:00;rain;5;118;Spiegelstraße;49.79512717222457, 9.934114106308467;;;;;;;;
2024-01-01T03:00:00+01:00;cloudy;6;214;Kaiserstraße;49.798498976405355, 9.933887635731686;;;;;;;;
2024-01-01T03:00:00+01:00;cloudy;6;173;Schönbornstraße;49.795490162266525, 9.931060093195851;;;;;;;;
2024-01-01T03:00:00+01:00;cloudy;6;87;Spiegelstraße;49.79512717222457, 9.934114106308467;;;;;;;;
2024-01-01T04:00:00+01:00;cloudy;5;238;Kaiserstraße;49.798498976405355, 9.933887635731686;;;;;;;;
2024-01-01T04:00:00+01:00;cloudy;5;174;Schönbornstraße;49.795490162266525, 9.931060093195851;;;;;;;;
2024-01-01T04:00:00+01:00;cloudy;5;95;Spiegelstraße;49.79512717222457, 9.934114106308467;;;;;;;;
2024-01-01T05:00:00+01:00;cloudy;5;264;Kaiserstraße;49.798498976405355, 9.933887635731686;;;;;;;;
2024-01-01T05:00:00+01:00;cloudy;5;160;Schönbornstraße;49.795490162266525, 9.931060093195851;;;;;;;;
2024-01-01T05:00:00+01:00;cloudy;5;50;Spiegelstraße;49.79512717222457, 9.934114106308467;;;;;;;;
2024-01-01T06:00:00+01:00;rain;5;187;Kaiserstraße;49.798498976405355, 9.933887635731686;;;;;;;;
2024-01-01T06:00:00+01:00;rain;5;117;Schönbornstraße;49.795490162266525, 9.931060093195851;;;;;;;;
2024-01-01T06:00:00+01:00;rain;5;38;Spiegelstraße;49.79512717222457, 9.934114106308467;;;;;;;;
2024-01-01T07:00:00+01:00;cloudy;5;91;Kaiserstraße;49.798498976405355, 9.933887635731686;;;;;;;;
2024-01-01T07:00:00+01:00;cloudy;5;58;Schönbornstraße;49.795490162266525, 9.931060093195851;;;;;;;;
2024-01-01T07:00:00+01:00;cloudy;5;43;Spiegelstraße;49.79512717222457, 9.934114106308467;;;;;;;;
2024-01-01T08:00:00+01:00;partly-cloudy-night;5;94;Kaiserstraße;49.798498976405355, 9.933887635731686;;;;;;;;
2024-01-01T08:00:00+01:00;partly-cloudy-night;5;25;Schönbornstraße;49.795490162266525, 9.931060093195851;;;;;;;;
2024-01-01T08:00:00+01:00;partly-cloudy-night;5;55;Spiegelstraße;49.79512717222457, 9.934114106308467;;;;;;;;
2024-01-01T09:00:00+01:00;partly-cloudy-day;5;118;Kaiserstraße;49.798498976405355, 9.933887635731686;;;;;;;;
2024-01-01T09:00:00+01:00;partly-cloudy-day;5;113;Schönbornstraße;49.795490162266525, 9.931060093195851;;;;;;;;
2024-01-01T09:00:00+01:00;partly-cloudy-day;5;45;Spiegelstraße;49.79512717222457, 9.934114106308467;;;;;;;;
2024-01-01T10:00:00+01:00;partly-cloudy-day;6;205;Kaiserstraße;49.798498976405355, 9.933887635731686;;;;;;;;
2024-01-01T10:00:00+01:00;partly-cloudy-day;6;178;Schönbornstraße;49.795490162266525, 9.931060093195851;;;;;;;;
2024-01-01T10:00:00+01:00;partly-cloudy-day;6;150;Spiegelstraße;49.79512717222457, 9.934114106308467;;;;;;;;
2024-01-01T11:00:00+01:00;partly-cloudy-day;6;330;Kaiserstraße;49.798498976405355, 9.933887635731686;;;;;;;;
2024-01-01T11:00:00+01:00;partly-cloudy-day;6;291;Schönbornstraße;49.795490162266525, 9.931060093195851;;;;;;;;
2024-01-01T11:00:00+01:00;partly-cloudy-day;6;241;Spiegelstraße;49.79512717222457, 9.934114106308467;;;;;;;;
2024-01-01T12:00:00+01:00;cloudy;7;295;Kaiserstraße;49.798498976405355, 9.933887635731686;;;;;;;;
2024-01-01T12:00:00+01:00;cloudy;7;317;Schönbornstraße;49.795490162266525, 9.931060093195851;;;;;;;;
2024-01-01T12:00:00+01:00;cloudy;7;263;Spiegelstraße;49.79512717222457, 9.934114106308467;;;;;;;;
2024-01-01T13:00:00+01:00;cloudy;7;427;Kaiserstraße;49.798498976405355, 9.933887635731686;;;;;;;;
2024-01-01T13:00:00+01:00;cloudy;7;473;Schönbornstraße;49.795490162266525, 9.931060093195851;;;;;;;;
2024-01-01T13:00:00+01:00;cloudy;7;374;Spiegelstraße;49.79512717222457, 9.934114106308467;;;;;;;;
2024-01-01T14:00:00+01:00;partly-cloudy-day;7;446;Kaiserstraße;49.798498976405355, 9.933887635731686;;;;;;;;
2024-01-01T14:00:00+01:00;partly-cloudy-day;7;532;Schönbornstraße;49.795490162266525, 9.931060093195851;;;;;;;;
2024-01-01T14:00:00+01:00;partly-cloudy-day;7;495;Spiegelstraße;49.79512717222457, 9.934114106308467;;;;;;;;
2024-01-01T15:00:00+01:00;rain;7;605;Kaiserstraße;49.798498976405355, 9.933887635731686;;;;;;;;
2024-01-01T15:00:00+01:00;rain;7;590;Schönbornstraße;49.795490162266525, 9.931060093195851;;;;;;;;
